CA,HOBBIES,8,"{'subsample_freq': 5, 'subsample': 0.8499999999999999, 'num_leaves': 46, 'max_depth': 11, 'learning_rate': 0.16}"
CA,HOBBIES,52,"{'subsample_freq': 2, 'subsample': 0.8499999999999999, 'num_leaves': 40, 'max_depth': 15, 'learning_rate': 0.27}"
CA,HOBBIES,32,"{'subsample_freq': 8, 'subsample': 0.8499999999999999, 'num_leaves': 40, 'max_depth': 15, 'learning_rate': 0.25}"
CA,HOBBIES,72,"{'subsample_freq': 8, 'subsample': 0.8499999999999999, 'num_leaves': 48, 'max_depth': 15, 'learning_rate': 0.29000000000000004}"
CA,HOBBIES,63,"{'subsample_freq': 3, 'subsample': 0.8499999999999999, 'num_leaves': 48, 'max_depth': 15, 'learning_rate': 0.24000000000000002}"
CA,HOBBIES,54,"{'subsample_freq': 1, 'subsample': 0.8499999999999999, 'num_leaves': 48, 'max_depth': 19, 'learning_rate': 0.22}"
CA,HOBBIES,39,"{'subsample_freq': 9, 'subsample': 0.8499999999999999, 'num_leaves': 46, 'max_depth': 19, 'learning_rate': 0.24000000000000002}"
CA,HOBBIES,31,"{'subsample_freq': 3, 'subsample': 0.8499999999999999, 'num_leaves': 48, 'max_depth': 13, 'learning_rate': 0.21000000000000002}"
CA,HOBBIES,21,"{'subsample_freq': 1, 'subsample': 0.8499999999999999, 'num_leaves': 46, 'max_depth': 17, 'learning_rate': 0.29000000000000004}"
CA,HOBBIES,43,"{'subsample_freq': 9, 'subsample': 0.8499999999999999, 'num_leaves': 48, 'max_depth': 11, 'learning_rate': 0.29000000000000004}"
CA,HOBBIES,56,"{'subsample_freq': 9, 'subsample': 0.8499999999999999, 'num_leaves': 46, 'max_depth': 15, 'learning_rate': 0.25}"
CA,HOBBIES,1,"{'subsample_freq': 1, 'subsample': 0.8499999999999999, 'num_leaves': 44, 'max_depth': 19, 'learning_rate': 0.15000000000000002}"
CA,HOBBIES,16,"{'subsample_freq': 1, 'subsample': 0.8499999999999999, 'num_leaves': 46, 'max_depth': 17, 'learning_rate': 0.14}"
CA,HOBBIES,81,"{'subsample_freq': 5, 'subsample': 0.8499999999999999, 'num_leaves': 48, 'max_depth': 13, 'learning_rate': 0.27}"
CA,HOBBIES,70,"{'subsample_freq': 1, 'subsample': 0.8499999999999999, 'num_leaves': 44, 'max_depth': 13, 'learning_rate': 0.23}"
CA,HOBBIES,98,"{'subsample_freq': 4, 'subsample': 0.8499999999999999, 'num_leaves': 46, 'max_depth': 13, 'learning_rate': 0.29000000000000004}"
CA,HOBBIES,160,"{'subsample_freq': 6, 'subsample': 0.6, 'num_leaves': 42, 'max_depth': 15, 'learning_rate': 0.25}"
CA,HOBBIES,26,"{'subsample_freq': 9, 'subsample': 0.8499999999999999, 'num_leaves': 46, 'max_depth': 13, 'learning_rate': 0.24000000000000002}"
CA,HOBBIES,66,"{'subsample_freq': 6, 'subsample': 0.8499999999999999, 'num_leaves': 44, 'max_depth': 13, 'learning_rate': 0.23}"
CA,HOBBIES,27,"{'subsample_freq': 1, 'subsample': 0.8499999999999999, 'num_leaves': 46, 'max_depth': 19, 'learning_rate': 0.28}"
CA,HOBBIES,42,"{'subsample_freq': 1, 'subsample': 0.6, 'num_leaves': 38, 'max_depth': 15, 'learning_rate': 0.18000000000000002}"
CA,HOBBIES,24,"{'subsample_freq': 1, 'subsample': 0.8499999999999999, 'num_leaves': 40, 'max_depth': 19, 'learning_rate': 0.26}"
CA,HOBBIES,36,"{'subsample_freq': 8, 'subsample': 0.6, 'num_leaves': 48, 'max_depth': 19, 'learning_rate': 0.16}"
CA,HOBBIES,69,"{'subsample_freq': 2, 'subsample': 0.8499999999999999, 'num_leaves': 48, 'max_depth': 19, 'learning_rate': 0.21000000000000002}"
CA,HOBBIES,40,"{'subsample_freq': 8, 'subsample': 0.8499999999999999, 'num_leaves': 48, 'max_depth': 19, 'learning_rate': 0.24000000000000002}"
CA,HOBBIES,22,"{'subsample_freq': 4, 'subsample': 0.8499999999999999, 'num_leaves': 44, 'max_depth': 13, 'learning_rate': 0.24000000000000002}"
CA,HOBBIES,30,"{'subsample_freq': 2, 'subsample': 0.8499999999999999, 'num_leaves': 46, 'max_depth': 11, 'learning_rate': 0.24000000000000002}"
CA,HOBBIES,28,"{'subsample_freq': 1, 'subsample': 0.6, 'num_leaves': 26, 'max_depth': 9, 'learning_rate': 0.18000000000000002}"
CA,HOBBIES,57,"{'subsample_freq': 4, 'subsample': 0.8499999999999999, 'num_leaves': 40, 'max_depth': 19, 'learning_rate': 0.24000000000000002}"
CA,HOBBIES,79,"{'subsample_freq': 9, 'subsample': 0.8499999999999999, 'num_leaves': 40, 'max_depth': 17, 'learning_rate': 0.26}"
CA,HOBBIES,51,"{'subsample_freq': 8, 'subsample': 0.8499999999999999, 'num_leaves': 44, 'max_depth': 17, 'learning_rate': 0.28}"
CA,HOBBIES,75,"{'subsample_freq': 1, 'subsample': 0.8499999999999999, 'num_leaves': 42, 'max_depth': 9, 'learning_rate': 0.15000000000000002}"
CA,HOBBIES,44,"{'subsample_freq': 8, 'subsample': 0.8499999999999999, 'num_leaves': 48, 'max_depth': 15, 'learning_rate': 0.23}"
CA,HOBBIES,35,"{'subsample_freq': 2, 'subsample': 0.8499999999999999, 'num_leaves': 42, 'max_depth': 19, 'learning_rate': 0.29000000000000004}"
CA,HOBBIES,37,"{'subsample_freq': 4, 'subsample': 0.8499999999999999, 'num_leaves': 44, 'max_depth': 13, 'learning_rate': 0.28}"
CA,HOBBIES,117,"{'subsample_freq': 9, 'subsample': 0.8499999999999999, 'num_leaves': 44, 'max_depth': 19, 'learning_rate': 0.29000000000000004}"
CA,HOBBIES,258,"{'subsample_freq': 1, 'subsample': 0.8499999999999999, 'num_leaves': 48, 'max_depth': 13, 'learning_rate': 0.29000000000000004}"
CA,HOBBIES,65,"{'subsample_freq': 2, 'subsample': 0.6, 'num_leaves': 48, 'max_depth': 15, 'learning_rate': 0.23}"
CA,HOBBIES,99,"{'subsample_freq': 6, 'subsample': 0.8499999999999999, 'num_leaves': 48, 'max_depth': 15, 'learning_rate': 0.26}"
